segment,epsilon,DBCV
2,1.1,0.7624325793564715
2,1.2,0.7762550413626071
2,1.3,0.7523054464721439
2,1.4,0.7925055603063579
2,1.5,0.7957107171322689
2,1.6,0.8019015200232138
2,1.7,0.7919956600354545
2,1.8,0.7914879288500767
2,1.9,0.7942253671554125
2,2.0,0.8084897088336
2,2.1,0.8032894390160124
2,2.2,0.7980379015179133
2,2.3,0.8068236481463511
2,2.4,0.7964178763030008
2,2.5,0.7960722070883721
2,2.6,0.7786706053078332
2,2.7,0.7719773898823528
2,2.8,0.7680608941615048
2,2.9,0.7666016198318627
2,3.0,0.7627958931064889
3,0.0,0.3148429560015476
3,1.0,0.8053640478058798
3,2.0,0.829417301583864
3,3.0,0.860224333549678
3,4.0,0.8370681176810526
3,5.0,0.8171301610372134
3,6.0,0.7828241508256892
3,7.0,0.7278146843875131
3,8.0,0.6343774248248593
3,9.0,0.5619027276856557
3,10.0,0.4924154950508416
3,11.0,0.4151747466346964
3,12.0,0.3318323703016266
3,13.0,0.2835436451405286
3,14.0,0.2154006501529004
3,15.0,0.1563515065567254
3,16.0,0.1377621164269085
3,17.0,0.1040341231630203
3,18.0,0.1058905752758364
3,19.0,0.1004601884497357
3,20.0,0.1286923980993212
3,21.0,0.1571333746973826
3,22.0,0.1571333746973826
3,23.0,0.1571333746973826
3,24.0,0.054128016247869
3,25.0,0.1218275534036971
3,26.0,0.1218275534036971
3,27.0,0.1414725146371051
3,28.0,0.1414725146371051
3,29.0,0.1414725146371051
3,30.0,0.0827491779961291
3,31.0,0.0403077452707084
3,32.0,0.0403077452707084
3,2.0,0.829417301583864
3,2.1,0.829417301583864
3,2.2,0.8351220107932101
3,2.3,0.8503788872376543
3,2.4,0.8567457453722309
3,2.5,0.8595364804827816
3,2.6,0.860224333549678
3,2.7,0.860224333549678
3,2.8,0.860224333549678
