strain,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
1,40,106,171,140,178,155,80,34
1,40,106,171,140,178,155,80,267
1,40,106,171,140,178,155,257,34
1,40,106,171,140,178,155,257,267
1,40,106,171,140,178,191,80,34
1,40,106,171,140,178,191,80,267
1,40,106,171,140,178,191,257,34
1,40,106,171,140,178,191,257,267
1,40,106,171,140,219,155,80,34
1,40,106,171,140,219,155,80,267
1,40,106,171,140,219,155,257,34
1,40,106,171,140,219,155,257,267
1,40,106,171,140,219,191,80,34
1,40,106,171,140,219,191,80,267
1,40,106,171,140,219,191,257,34
1,40,106,171,140,219,191,257,267
1,40,106,171,162,178,155,80,34
1,40,106,171,162,178,155,80,267
1,40,106,171,162,178,155,257,34
1,40,106,171,162,178,155,257,267
1,40,106,171,162,178,191,80,34
1,40,106,171,162,178,191,80,267
1,40,106,171,162,178,191,257,34
1,40,106,171,162,178,191,257,267
1,40,106,171,162,219,155,80,34
1,40,106,171,162,219,155,80,267
1,40,106,171,162,219,155,257,34
1,40,106,171,162,219,155,257,267
1,40,106,171,162,219,191,80,34
1,40,106,171,162,219,191,80,267
1,40,106,171,162,219,191,257,34
1,40,106,171,162,219,191,257,267
11,40,106,205,212,219,155,266,34
1,40,106,213,26,105,164,84,34
1,40,106,213,138,219,155,80,18
2,40,106,213,162,219,155,80,34
1,40,106,221,128,127,62,80,34
1,40,106,221,128,127,62,80,186
1,40,106,221,128,127,62,274,34
1,40,106,221,128,127,62,274,186
1,40,106,221,128,127,155,80,34
1,40,106,221,128,127,155,80,186
1,40,106,221,128,127,155,274,34
1,40,106,221,128,127,155,274,186
1,40,106,221,128,219,62,80,34
1,40,106,221,128,219,62,80,186
1,40,106,221,128,219,62,274,34
1,40,106,221,128,219,62,274,186
1,40,106,221,128,219,155,80,34
1,40,106,221,128,219,155,80,186
1,40,106,221,128,219,155,274,34
1,40,106,221,128,219,155,274,186
1,40,106,221,140,178,155,80,34
1,40,106,221,140,178,155,80,267
1,40,106,221,140,178,155,257,34
1,40,106,221,140,178,155,257,267
1,40,106,221,140,178,191,80,34
1,40,106,221,140,178,191,80,267
1,40,106,221,140,178,191,257,34
1,40,106,221,140,178,191,257,267
1,40,106,221,140,219,155,80,34
1,40,106,221,140,219,155,80,267
1,40,106,221,140,219,155,257,34
1,40,106,221,140,219,155,257,267
1,40,106,221,140,219,191,80,34
1,40,106,221,140,219,191,80,267
1,40,106,221,140,219,191,257,34
1,40,106,221,140,219,191,257,267
1,40,106,221,162,127,62,80,34
1,40,106,221,162,127,62,80,186
1,40,106,221,162,127,62,274,34
1,40,106,221,162,127,62,274,186
1,40,106,221,162,127,155,80,34
1,40,106,221,162,127,155,80,186
1,40,106,221,162,127,155,274,34
1,40,106,221,162,127,155,274,186
1,40,106,221,162,178,155,80,34
1,40,106,221,162,178,155,80,267
1,40,106,221,162,178,155,257,34
1,40,106,221,162,178,155,257,267
1,40,106,221,162,178,191,80,34
1,40,106,221,162,178,191,80,267
1,40,106,221,162,178,191,257,34
1,40,106,221,162,178,191,257,267
1,40,106,221,162,219,62,80,34
1,40,106,221,162,219,62,80,186
1,40,106,221,162,219,62,274,34
1,40,106,221,162,219,62,274,186
4,40,106,221,162,219,155,80,18
202,40,106,221,162,219,155,80,34
1,40,106,221,162,219,155,80,58
1,40,106,221,162,219,155,80,186
1,40,106,221,162,219,155,80,267
1,40,106,221,162,219,155,81,34
6,40,106,221,162,219,155,130,34
1,40,106,221,162,219,155,257,34
1,40,106,221,162,219,155,257,267
1,40,106,221,162,219,155,274,34
1,40,106,221,162,219,155,274,186
1,40,106,221,162,219,191,80,34
1,40,106,221,162,219,191,80,267
1,40,106,221,162,219,191,257,34
1,40,106,221,162,219,191,257,267
2,40,106,221,213,219,155,80,34
1,40,178,79,128,127,62,80,34
1,40,178,79,128,127,62,80,186
1,40,178,79,128,127,62,274,34
1,40,178,79,128,127,62,274,186
1,40,178,79,128,127,155,80,34
1,40,178,79,128,127,155,80,186
1,40,178,79,128,127,155,274,34
1,40,178,79,128,127,155,274,186
1,40,178,79,128,219,62,80,34
1,40,178,79,128,219,62,80,186
1,40,178,79,128,219,62,274,34
1,40,178,79,128,219,62,274,186
1,40,178,79,128,219,155,80,34
1,40,178,79,128,219,155,80,186
1,40,178,79,128,219,155,274,34
1,40,178,79,128,219,155,274,186
1,40,178,79,162,127,62,80,34
1,40,178,79,162,127,62,80,186
1,40,178,79,162,127,62,274,34
1,40,178,79,162,127,62,274,186
1,40,178,79,162,127,155,80,34
1,40,178,79,162,127,155,80,186
1,40,178,79,162,127,155,274,34
1,40,178,79,162,127,155,274,186
1,40,178,79,162,219,62,80,34
1,40,178,79,162,219,62,80,186
1,40,178,79,162,219,62,274,34
1,40,178,79,162,219,62,274,186
1,40,178,79,162,219,155,80,34
1,40,178,79,162,219,155,80,186
1,40,178,79,162,219,155,274,34
1,40,178,79,162,219,155,274,186
1,40,178,221,128,127,62,80,34
1,40,178,221,128,127,62,80,186
1,40,178,221,128,127,62,274,34
1,40,178,221,128,127,62,274,186
1,40,178,221,128,127,155,80,34
1,40,178,221,128,127,155,80,186
1,40,178,221,128,127,155,274,34
1,40,178,221,128,127,155,274,186
1,40,178,221,128,219,62,80,34
1,40,178,221,128,219,62,80,186
1,40,178,221,128,219,62,274,34
1,40,178,221,128,219,62,274,186
1,40,178,221,128,219,155,80,34
1,40,178,221,128,219,155,80,186
1,40,178,221,128,219,155,274,34
1,40,178,221,128,219,155,274,186
1,40,178,221,162,127,62,80,34
1,40,178,221,162,127,62,80,186
1,40,178,221,162,127,62,274,34
1,40,178,221,162,127,62,274,186
1,40,178,221,162,127,155,80,34
1,40,178,221,162,127,155,80,186
1,40,178,221,162,127,155,274,34
1,40,178,221,162,127,155,274,186
1,40,178,221,162,219,62,80,34
1,40,178,221,162,219,62,80,186
1,40,178,221,162,219,62,274,34
1,40,178,221,162,219,62,274,186
1,40,178,221,162,219,155,80,34
1,40,178,221,162,219,155,80,186
1,40,178,221,162,219,155,274,34
1,40,178,221,162,219,155,274,186
1,40,221,171,140,178,155,80,34
1,40,221,171,140,178,155,80,267
1,40,221,171,140,178,155,257,34
1,40,221,171,140,178,155,257,267
1,40,221,171,140,178,191,80,34
1,40,221,171,140,178,191,80,267
1,40,221,171,140,178,191,257,34
1,40,221,171,140,178,191,257,267
1,40,221,171,140,219,155,80,34
1,40,221,171,140,219,155,80,267
1,40,221,171,140,219,155,257,34
1,40,221,171,140,219,155,257,267
1,40,221,171,140,219,191,80,34
1,40,221,171,140,219,191,80,267
1,40,221,171,140,219,191,257,34
1,40,221,171,140,219,191,257,267
1,40,221,171,162,178,155,80,34
1,40,221,171,162,178,155,80,267
1,40,221,171,162,178,155,257,34
1,40,221,171,162,178,155,257,267
1,40,221,171,162,178,191,80,34
1,40,221,171,162,178,191,80,267
1,40,221,171,162,178,191,257,34
1,40,221,171,162,178,191,257,267
1,40,221,171,162,219,155,80,34
1,40,221,171,162,219,155,80,267
1,40,221,171,162,219,155,257,34
1,40,221,171,162,219,155,257,267
1,40,221,171,162,219,191,80,34
1,40,221,171,162,219,191,80,267
1,40,221,171,162,219,191,257,34
1,40,221,171,162,219,191,257,267
1,40,221,221,140,178,155,80,34
1,40,221,221,140,178,155,80,267
1,40,221,221,140,178,155,257,34
1,40,221,221,140,178,155,257,267
1,40,221,221,140,178,191,80,34
1,40,221,221,140,178,191,80,267
1,40,221,221,140,178,191,257,34
1,40,221,221,140,178,191,257,267
1,40,221,221,140,219,155,80,34
1,40,221,221,140,219,155,80,267
1,40,221,221,140,219,155,257,34
1,40,221,221,140,219,155,257,267
1,40,221,221,140,219,191,80,34
1,40,221,221,140,219,191,80,267
1,40,221,221,140,219,191,257,34
1,40,221,221,140,219,191,257,267
1,40,221,221,162,178,155,80,34
1,40,221,221,162,178,155,80,267
1,40,221,221,162,178,155,257,34
1,40,221,221,162,178,155,257,267
1,40,221,221,162,178,191,80,34
1,40,221,221,162,178,191,80,267
1,40,221,221,162,178,191,257,34
1,40,221,221,162,178,191,257,267
1,40,221,221,162,219,155,80,34
1,40,221,221,162,219,155,80,267
1,40,221,221,162,219,155,257,34
1,40,221,221,162,219,155,257,267
1,40,221,221,162,219,191,80,34
1,40,221,221,162,219,191,80,267
1,40,221,221,162,219,191,257,34
1,40,221,221,162,219,191,257,267
46,41,38,55,125,9,3,158,5
4,41,38,55,125,9,58,158,5
1,41,38,55,125,9,67,8,5
15,41,38,55,125,60,58,158,5
78,41,39,55,160,9,67,8,5
28,41,39,55,160,9,67,8,112
15,41,39,55,160,9,67,286,112
1,41,39,55,160,9,67,304,112
19,41,39,55,160,60,67,8,5
11,41,39,55,160,60,67,8,112
7,41,39,55,160,60,67,286,112
6,41,39,55,160,60,67,304,112
11,41,39,55,160,199,67,8,5
3,41,117,149,160,295,237,286,112
3,41,134,149,160,295,245,286,306
1,41,138,197,153,297,255,316,47
2,41,138,210,153,295,84,158,112
3,41,138,210,153,295,84,286,112
2,41,138,210,153,295,169,316,47
64,41,138,210,161,295,237,286,112
1,41,138,210,184,295,84,286,112
1,41,138,261,153,295,169,316,47
16,41,225,55,160,295,237,286,112
1,41,230,210,153,295,84,286,112
1,41,237,197,161,295,84,8,303
7,41,237,197,161,295,84,286,303
9,41,237,210,153,295,237,316,47
1,41,237,210,153,295,255,286,112
1,41,237,210,153,295,255,316,47
6,42,0,3,106,125,32,106,3
1,42,0,3,107,125,32,47,4
1,42,0,3,107,125,32,47,220
5,42,0,3,107,125,32,106,4
2,42,0,3,218,125,32,106,4
3,42,21,3,33,4,104,47,21
7,42,21,3,33,4,113,47,21
1,42,21,3,103,3,95,55,21
4,42,21,3,103,3,104,47,4
6,42,21,3,103,3,104,47,6
268,42,21,3,103,3,104,47,21
13,42,21,3,103,3,104,47,67
1,42,21,3,103,3,104,47,269
4,42,21,3,103,3,104,47,285
15,42,21,3,103,3,104,55,21
4,42,21,3,103,3,104,107,269
6,42,21,3,103,3,104,295,21
1,42,21,3,103,3,112,47,21
2,42,21,3,103,4,104,47,21
1,42,21,3,103,22,104,247,240
2,42,21,3,103,90,104,47,21
1,42,21,3,103,90,115,47,283
1,42,21,3,103,94,104,47,21
2,42,21,3,103,95,104,47,21
1,42,21,3,103,95,106,47,21
16,42,21,3,103,95,112,47,21
14,42,21,3,103,136,104,47,21
1,42,21,3,107,3,104,47,21
2,42,21,3,107,3,104,47,283
5,42,21,3,107,4,95,40,21
5,42,21,3,107,4,95,40,285
1,42,21,3,107,4,95,43,21
1,42,21,3,107,4,95,43,285
6,42,21,3,107,4,95,47,21
5,42,21,3,107,4,95,47,285
1,42,21,3,107,4,95,151,21
1,42,21,3,107,4,95,151,285
5,42,21,3,107,4,104,40,21
5,42,21,3,107,4,104,40,285
27,42,21,3,107,4,104,43,21
11,42,21,3,107,4,104,43,180
10,42,21,3,107,4,104,43,236
1,42,21,3,107,4,104,43,285
3,42,21,3,107,4,104,47,6
274,42,21,3,107,4,104,47,21
15,42,21,3,107,4,104,47,24
17,42,21,3,107,4,104,47,283
6,42,21,3,107,4,104,47,285
19,42,21,3,107,4,104,52,21
8,42,21,3,107,4,104,58,21
12,42,21,3,107,4,104,85,21
2,42,21,3,107,4,104,85,283
8,42,21,3,107,4,104,107,21
1,42,21,3,107,4,104,151,21
1,42,21,3,107,4,104,151,285
1,42,21,3,107,4,104,247,24
1,42,21,3,107,4,104,295,21
6,42,21,3,107,4,243,47,21
1,42,21,3,107,4,243,47,67
8,42,21,3,107,29,95,40,21
8,42,21,3,107,29,95,40,285
1,42,21,3,107,29,95,43,21
1,42,21,3,107,29,95,43,285
8,42,21,3,107,29,95,47,21
8,42,21,3,107,29,95,47,285
1,42,21,3,107,29,95,151,21
1,42,21,3,107,29,95,151,285
8,42,21,3,107,29,104,40,21
8,42,21,3,107,29,104,40,285
1,42,21,3,107,29,104,43,21
1,42,21,3,107,29,104,43,285
8,42,21,3,107,29,104,47,21
8,42,21,3,107,29,104,47,285
1,42,21,3,107,29,104,151,21
1,42,21,3,107,29,104,151,285
2,42,21,3,107,89,95,40,21
2,42,21,3,107,89,95,40,285
2,42,21,3,107,89,95,47,21
2,42,21,3,107,89,95,47,285
2,42,21,3,107,89,104,40,21
2,42,21,3,107,89,104,40,285
7,42,21,3,107,89,104,47,21
2,42,21,3,107,89,104,47,285
1,42,21,3,107,89,104,107,269
2,42,21,3,107,90,95,40,21
2,42,21,3,107,90,95,40,285
2,42,21,3,107,90,95,47,21
2,42,21,3,107,90,95,47,285
2,42,21,3,107,90,104,40,21
2,42,21,3,107,90,104,40,285
23,42,21,3,107,90,104,47,21
2,42,21,3,107,90,104,47,285
1,42,21,3,107,90,104,107,269
1,42,21,3,107,92,104,47,4
8,42,21,3,107,92,104,47,21
1,42,21,3,107,125,32,106,4
1,42,21,3,107,282,95,43,4
1,42,21,3,107,282,95,43,285
1,42,21,3,107,282,95,151,4
1,42,21,3,107,282,95,151,285
1,42,21,3,107,282,104,43,4
2,42,21,3,107,282,104,43,21
6,42,21,3,107,282,104,43,285
1,42,21,3,107,282,104,107,269
1,42,21,3,107,282,104,151,4
1,42,21,3,107,282,104,151,285
1,42,21,3,107,288,102,107,269
1,42,21,3,107,288,104,47,269
1,42,21,3,107,288,104,107,180
42,42,21,3,107,288,104,107,269
1,42,21,3,173,4,104,47,21
37,42,21,3,204,4,104,47,21
2,42,21,3,204,4,104,47,285
1,42,21,3,204,288,104,107,269
11,42,21,3,208,4,104,47,21
1,42,21,3,210,4,95,107,180
6,42,21,3,210,4,104,47,180
2,42,21,3,252,4,142,47,246
15,42,21,64,107,4,104,47,21
2,42,21,64,107,282,104,43,285
1,42,21,64,107,288,104,107,21
3,42,21,65,107,4,95,40,21
3,42,21,65,107,4,95,40,285
1,42,21,65,107,4,95,43,21
1,42,21,65,107,4,95,43,285
3,42,21,65,107,4,95,47,21
3,42,21,65,107,4,95,47,285
1,42,21,65,107,4,95,151,21
1,42,21,65,107,4,95,151,285
3,42,21,65,107,4,104,40,21
3,42,21,65,107,4,104,40,285
1,42,21,65,107,4,104,43,21
1,42,21,65,107,4,104,43,285
3,42,21,65,107,4,104,47,21
3,42,21,65,107,4,104,47,285
1,42,21,65,107,4,104,151,21
1,42,21,65,107,4,104,151,285
6,42,21,65,107,29,95,40,21
6,42,21,65,107,29,95,40,285
1,42,21,65,107,29,95,43,21
1,42,21,65,107,29,95,43,285
6,42,21,65,107,29,95,47,21
6,42,21,65,107,29,95,47,285
1,42,21,65,107,29,95,151,21
1,42,21,65,107,29,95,151,285
6,42,21,65,107,29,104,40,21
6,42,21,65,107,29,104,40,285
1,42,21,65,107,29,104,43,21
1,42,21,65,107,29,104,43,285
6,42,21,65,107,29,104,47,21
6,42,21,65,107,29,104,47,285
1,42,21,65,107,29,104,151,21
1,42,21,65,107,29,104,151,285
2,42,21,65,107,89,95,40,21
2,42,21,65,107,89,95,40,285
2,42,21,65,107,89,95,47,21
2,42,21,65,107,89,95,47,285
2,42,21,65,107,89,104,40,21
2,42,21,65,107,89,104,40,285
2,42,21,65,107,89,104,47,21
2,42,21,65,107,89,104,47,285
2,42,21,65,107,90,95,40,21
2,42,21,65,107,90,95,40,285
2,42,21,65,107,90,95,47,21
2,42,21,65,107,90,95,47,285
2,42,21,65,107,90,104,40,21
2,42,21,65,107,90,104,40,285
2,42,21,65,107,90,104,47,21
2,42,21,65,107,90,104,47,285
1,42,21,65,107,282,95,43,4
1,42,21,65,107,282,95,43,285
1,42,21,65,107,282,95,151,4
1,42,21,65,107,282,95,151,285
1,42,21,65,107,282,104,43,4
1,42,21,65,107,282,104,43,285
1,42,21,65,107,282,104,151,4
1,42,21,65,107,282,104,151,285
1,42,21,65,204,4,104,47,21
1,42,21,172,107,282,73,247,24
1,42,21,172,107,282,104,247,24
15,42,22,3,107,4,116,47,21
20,42,27,3,103,3,104,47,21
1,42,34,3,103,3,104,46,21
3,42,34,3,103,3,104,47,21
1,42,34,3,103,3,104,55,6
2,42,34,3,103,3,104,55,21
3,42,34,3,107,4,95,40,21
3,42,34,3,107,4,95,40,285
1,42,34,3,107,4,95,43,21
1,42,34,3,107,4,95,43,285
3,42,34,3,107,4,95,47,21
3,42,34,3,107,4,95,47,285
1,42,34,3,107,4,95,151,21
1,42,34,3,107,4,95,151,285
3,42,34,3,107,4,104,40,21
3,42,34,3,107,4,104,40,285
1,42,34,3,107,4,104,43,21
1,42,34,3,107,4,104,43,285
9,42,34,3,107,4,104,47,21
1,42,34,3,107,4,104,47,24
3,42,34,3,107,4,104,47,285
1,42,34,3,107,4,104,58,21
1,42,34,3,107,4,104,85,21
1,42,34,3,107,4,104,151,21
1,42,34,3,107,4,104,151,285
4,42,34,3,107,29,95,40,21
4,42,34,3,107,29,95,40,285
1,42,34,3,107,29,95,43,21
1,42,34,3,107,29,95,43,285
4,42,34,3,107,29,95,47,21
4,42,34,3,107,29,95,47,285
1,42,34,3,107,29,95,151,21
1,42,34,3,107,29,95,151,285
4,42,34,3,107,29,104,40,21
4,42,34,3,107,29,104,40,285
1,42,34,3,107,29,104,43,21
1,42,34,3,107,29,104,43,285
6,42,34,3,107,29,104,47,21
4,42,34,3,107,29,104,47,285
1,42,34,3,107,29,104,151,21
1,42,34,3,107,29,104,151,285
1,42,34,3,107,38,104,47,21
1,42,34,3,107,89,95,40,21
1,42,34,3,107,89,95,40,285
1,42,34,3,107,89,95,47,21
1,42,34,3,107,89,95,47,285
1,42,34,3,107,89,104,40,21
1,42,34,3,107,89,104,40,285
1,42,34,3,107,89,104,47,21
1,42,34,3,107,89,104,47,285
1,42,34,3,107,90,95,40,21
1,42,34,3,107,90,95,40,285
1,42,34,3,107,90,95,47,21
1,42,34,3,107,90,95,47,285
1,42,34,3,107,90,104,40,21
1,42,34,3,107,90,104,40,285
1,42,34,3,107,90,104,47,21
1,42,34,3,107,90,104,47,285
1,42,34,3,107,282,95,43,4
1,42,34,3,107,282,95,43,285
1,42,34,3,107,282,95,151,4
1,42,34,3,107,282,95,151,285
1,42,34,3,107,282,104,43,4
1,42,34,3,107,282,104,43,285
1,42,34,3,107,282,104,151,4
1,42,34,3,107,282,104,151,285
1,42,34,3,204,4,104,47,21
1,42,34,3,252,4,142,47,246
1,42,34,65,103,3,104,46,21
3,42,34,65,107,4,95,40,21
3,42,34,65,107,4,95,40,285
1,42,34,65,107,4,95,43,21
1,42,34,65,107,4,95,43,285
3,42,34,65,107,4,95,47,21
3,42,34,65,107,4,95,47,285
1,42,34,65,107,4,95,151,21
1,42,34,65,107,4,95,151,285
3,42,34,65,107,4,104,40,21
3,42,34,65,107,4,104,40,285
1,42,34,65,107,4,104,43,21
1,42,34,65,107,4,104,43,285
3,42,34,65,107,4,104,47,21
3,42,34,65,107,4,104,47,285
1,42,34,65,107,4,104,151,21
1,42,34,65,107,4,104,151,285
4,42,34,65,107,29,95,40,21
1,42,34,65,107,29,95,40,181
4,42,34,65,107,29,95,40,285
1,42,34,65,107,29,95,43,21
1,42,34,65,107,29,95,43,285
4,42,34,65,107,29,95,47,21
4,42,34,65,107,29,95,47,285
1,42,34,65,107,29,95,151,21
1,42,34,65,107,29,95,151,285
4,42,34,65,107,29,104,40,21
4,42,34,65,107,29,104,40,285
1,42,34,65,107,29,104,43,21
1,42,34,65,107,29,104,43,285
4,42,34,65,107,29,104,47,21
4,42,34,65,107,29,104,47,285
1,42,34,65,107,29,104,151,21
1,42,34,65,107,29,104,151,285
1,42,34,65,107,89,95,40,21
1,42,34,65,107,89,95,40,285
1,42,34,65,107,89,95,47,21
1,42,34,65,107,89,95,47,285
1,42,34,65,107,89,104,40,21
1,42,34,65,107,89,104,40,285
1,42,34,65,107,89,104,47,21
1,42,34,65,107,89,104,47,285
1,42,34,65,107,90,95,40,21
1,42,34,65,107,90,95,40,285
1,42,34,65,107,90,95,47,21
1,42,34,65,107,90,95,47,285
1,42,34,65,107,90,104,40,21
1,42,34,65,107,90,104,40,285
1,42,34,65,107,90,104,47,21
1,42,34,65,107,90,104,47,285
1,42,34,65,107,282,95,43,4
1,42,34,65,107,282,95,43,285
1,42,34,65,107,282,95,151,4
1,42,34,65,107,282,95,151,274
1,42,34,65,107,282,95,151,285
1,42,34,65,107,282,104,43,4
1,42,34,65,107,282,104,43,285
1,42,34,65,107,282,104,151,4
1,42,34,65,107,282,104,151,285
1,42,34,172,107,215,95,247,246
3,42,36,3,103,38,104,47,21
26,42,36,3,107,38,104,47,21
1,42,65,3,107,83,32,7,220
1,42,65,3,107,83,32,40,220
1,42,65,3,107,83,80,7,220
1,42,65,3,107,83,80,40,220
1,42,65,3,107,125,32,7,220
1,42,65,3,107,125,32,40,220
1,42,65,3,107,125,80,7,220
1,42,65,3,107,125,80,40,220
1,42,65,3,216,83,32,7,220
1,42,65,3,216,83,32,40,220
1,42,65,3,216,83,80,7,220
1,42,65,3,216,83,80,40,220
1,42,65,3,216,125,32,7,220
1,42,65,3,216,125,32,40,220
1,42,65,3,216,125,80,7,220
1,42,65,3,216,125,80,40,220
1,42,65,100,107,83,32,7,220
1,42,65,100,107,83,32,40,220
1,42,65,100,107,83,80,7,220
1,42,65,100,107,83,80,40,220
1,42,65,100,107,125,32,7,220
1,42,65,100,107,125,32,40,220
1,42,65,100,107,125,80,7,220
1,42,65,100,107,125,80,40,220
1,42,65,100,216,83,32,7,220
1,42,65,100,216,83,32,40,220
1,42,65,100,216,83,80,7,220
1,42,65,100,216,83,80,40,220
1,42,65,100,216,125,32,7,220
1,42,65,100,216,125,32,40,220
1,42,65,100,216,125,80,7,220
1,42,65,100,216,125,80,40,220
16,42,156,3,204,4,111,47,21
1,42,156,64,204,90,104,47,21
3,42,159,3,146,127,140,288,244
23,42,196,3,107,4,114,47,21
14,42,215,3,107,4,104,47,21
1,42,215,3,107,4,104,107,269
1,42,221,3,107,4,214,47,21
1,42,221,3,107,282,214,50,274
4,42,221,168,107,4,214,47,21
3,42,223,3,107,282,109,43,285
3,42,223,3,107,282,109,151,285
3,42,223,65,107,282,109,43,285
3,42,223,65,107,282,109,151,285
2,43,0,140,196,125,32,29,242
1,43,0,245,110,125,105,106,212
1,43,0,245,196,125,32,82,242
1,43,0,245,217,125,38,101,242
1,43,0,245,218,125,32,155,123
4,43,0,245,218,125,32,194,242
1,43,8,134,71,59,117,33,123
1,43,11,97,46,118,30,175,171
1,43,16,4,20,30,12,23,11
3,43,41,8,84,6,11,94,70
3,43,41,8,86,6,1,94,70
1,43,41,8,86,6,1,94,137
1,43,41,8,86,6,11,93,70
4,43,41,8,86,6,11,94,70
1,43,41,8,86,6,11,94,93
2,43,41,8,86,26,11,94,70
1,43,41,8,86,26,11,94,137
1,43,41,37,86,6,11,94,70
1,43,41,37,250,6,233,94,70
8,43,41,45,250,6,233,94,70
1,43,43,122,8,30,49,23,87
7,43,49,163,23,129,101,23,73
3,43,54,106,82,148,152,94,70
2,43,62,83,145,130,205,26,206
2,43,71,133,77,76,235,94,139
1,43,71,133,78,76,215,118,139
51,43,71,133,185,26,11,13,123
2,43,71,133,185,76,11,13,123
16,43,71,133,185,76,15,13,123
1,43,71,133,185,76,15,214,123
4,43,71,133,220,76,15,214,123
1,43,72,245,217,125,46,101,242
1,43,75,245,172,50,28,101,242
1,43,96,239,22,113,222,104,164
1,43,126,59,228,8,195,15,116
1,43,146,133,83,61,15,161,123
2,43,191,59,223,130,200,87,120
1,43,191,59,223,130,200,90,135
2,43,191,59,225,130,205,22,119
1,43,191,133,185,26,11,13,123
3,43,191,133,185,26,11,13,137
1,44,96,82,22,77,222,4,164
1,44,96,82,22,77,222,4,178
1,44,96,82,22,77,222,104,164
1,44,96,82,22,77,222,104,178
1,44,96,82,22,160,222,4,164
1,44,96,82,22,160,222,4,178
1,44,96,82,22,160,222,104,164
1,44,96,82,22,160,222,104,178
1,44,96,82,23,7,222,4,17
1,44,96,82,23,20,222,4,178
1,44,96,82,23,77,222,4,164
1,44,96,82,23,77,222,4,178
1,44,96,82,23,77,222,104,164
1,44,96,82,23,77,222,104,178
52,44,96,82,23,96,222,4,17
1,44,96,82,23,96,222,4,178
4,44,96,82,23,96,222,23,17
1,44,96,82,23,96,222,23,73
1,44,96,82,23,96,222,59,178
6,44,96,82,23,160,222,4,17
1,44,96,82,23,160,222,4,93
1,44,96,82,23,160,222,4,164
48,44,96,82,23,160,222,4,178
4,44,96,82,23,160,222,59,178
1,44,96,82,23,160,222,104,164
1,44,96,82,23,160,222,104,178
6,44,96,82,23,253,222,4,17
1,44,96,239,22,52,16,104,164
1,44,96,239,22,77,222,4,164
1,44,96,239,22,77,222,4,178
15,44,96,239,22,77,222,104,164
1,44,96,239,22,77,222,104,178
2,44,96,239,22,113,222,104,164
1,44,96,239,22,160,222,4,164
1,44,96,239,22,160,222,4,178
1,44,96,239,22,160,222,104,164
1,44,96,239,22,160,222,104,178
1,44,96,239,23,77,222,4,164
1,44,96,239,23,77,222,4,178
1,44,96,239,23,77,222,104,164
1,44,96,239,23,77,222,104,178
1,44,96,239,23,160,222,4,164
1,44,96,239,23,160,222,4,178
1,44,96,239,23,160,222,104,164
1,44,96,239,23,160,222,104,178
1,45,112,66,182,112,79,22,55
55,45,112,66,182,112,79,22,82
1,45,112,66,182,113,79,22,0
1,45,112,226,182,253,79,22,187
1,46,125,141,93,17,163,255,313
1,46,133,141,93,17,133,255,313
1,46,133,141,93,17,163,255,203
30,46,133,141,93,17,163,255,313
1,47,128,72,234,181,145,270,186
1,47,128,72,234,181,145,293,142
1,47,128,72,234,216,145,293,142
5,47,178,72,128,181,145,293,186
1,47,178,72,234,181,145,270,186
1,48,61,109,193,59,235,32,282
8,48,61,109,193,59,235,33,282
2,48,61,135,193,59,235,33,282
4,49,105,121,236,203,189,83,53
39,50,51,68,10,49,22,4,20
5,50,51,68,10,49,22,4,178
1,50,51,84,10,49,22,4,7
25,50,51,84,10,49,22,4,20
6,50,51,84,10,49,180,4,20
10,50,51,84,10,284,22,4,20
15,51,120,113,47,164,194,5,16
50,52,221,168,203,237,248,50,104
17,53,62,83,145,101,176,26,196
2,54,17,245,172,18,31,155,42
45,55,72,245,217,125,46,166,4
1,55,72,245,217,125,46,166,299
10,55,72,245,217,125,46,205,4
9,56,50,226,9,116,205,11,108
1,56,50,226,9,116,205,32,140
1,56,50,226,9,116,205,42,108
1,56,50,226,9,116,205,109,108
1,56,50,226,9,116,205,188,140
1,56,50,226,78,116,205,11,108
1,56,104,252,137,108,201,215,182
15,56,208,226,9,116,205,11,108
2,56,208,226,9,116,205,21,108
1,56,208,226,9,116,205,124,108
6,57,108,59,225,130,200,87,119
13,58,66,213,138,219,155,84,52
1,58,66,213,237,219,155,84,52
1,58,66,221,138,219,155,81,58
5,58,105,121,237,219,190,84,52
1,58,105,184,138,219,190,84,52
1,58,105,184,181,219,155,80,52
53,58,105,184,181,219,155,84,52
5,58,105,184,181,219,189,84,52
1,58,105,184,181,219,190,83,52
6,58,105,184,181,219,190,84,50
132,58,105,184,181,219,190,84,52
5,58,105,184,235,219,190,249,50
194,58,105,184,235,219,190,249,52
1,58,105,184,235,219,190,249,157
1,58,105,184,237,219,155,84,52
1,58,105,184,239,192,190,84,52
38,58,105,184,239,192,190,249,52
4,58,105,184,239,219,190,249,52
2,58,105,213,181,219,190,84,50
2,58,105,213,181,219,190,84,58
38,58,105,222,181,219,190,84,52
1,58,106,184,181,219,155,84,52
1,58,106,213,162,219,155,80,52
48,58,123,145,230,250,107,279,157
1,58,123,145,235,219,190,249,52
1,58,123,185,249,250,107,279,157
3,59,105,79,195,127,62,83,53
1,59,105,79,195,127,62,83,186
2,59,105,79,195,127,62,83,226
3,59,105,79,195,127,62,153,53
1,59,105,79,195,127,62,153,186
