accession,H7,H10,H12
>CY183927,0.716170878997987,0.32140460747036453,1.0
>CY183935,0.7160134378499441,0.3209406494960806,1.0
>CY183943,0.7163310961968681,0.32125279642058163,1.0
>CY183951,0.7166480446927374,0.3220111731843575,1.0
>CY183959,0.7298150654036989,0.3308525033829499,1.0
>CY183967,0.7136160714285715,0.32388392857142856,1.0
>CY183975,0.7163310961968681,0.32125279642058163,1.0
>CY183983,0.7160134378499441,0.3209406494960806,1.0
>CY183991,0.7144451886581827,0.3199374860459924,1.0
>CY183637,0.7353479853479853,0.32783882783882784,1.0
>CY184023,1.0,0.969254252071522,0.355865678150894
>CY183580,0.7239500567536891,0.3293984108967083,1.0
>CY184608,0.7152777777777777,0.35506272401433686,1.0
>CY184632,0.7394366197183099,0.3434802362562472,1.0
>CY183645,0.7337751371115174,0.33043875685557583,1.0
>CY184031,1.0,0.9703251145537857,0.3515164739253764
>CY183999,1.0,0.9742076502732239,0.3549726775956284
>CY184616,0.7063953488372093,0.353309481216458,1.0
>CY183653,0.7230941704035875,0.3338565022421526,1.0
>CY183661,0.7314390467461046,0.34097158570119157,1.0
>CY183669,0.7317463950560769,0.3398947127489128,1.0
>CY184039,1.0,0.9697891762660292,0.3590523799174093
>CY183718,0.7221467391304348,0.34148550724637683,1.0
>CY183726,0.7221467391304348,0.34148550724637683,1.0
>CY183734,0.7255972696245734,0.33538111490329925,1.0
>CY183742,0.7221467391304348,0.34148550724637683,1.0
>CY183750,0.7255972696245734,0.33538111490329925,1.0
>CY183758,0.7256416079945491,0.33954122189416314,1.0
>CY183775,0.7256416079945491,0.33954122189416314,1.0
>CY183783,0.7236842105263157,0.34029038112522686,1.0
>CY183677,0.724177071509648,0.33757094211123717,1.0
>CY183685,0.7220708446866486,0.33628519527702094,1.0
>CY183401,0.7261363636363636,0.33818181818181814,1.0
>CY183791,0.7227567688520921,0.3287088834191094,1.0
>CY184047,1.0,0.9759772876173838,0.3590303559729198
>CY184640,0.7254144901203723,0.33954122189416297,1.0
>CY183702,0.724177071509648,0.33757094211123717,1.0
>CY183799,0.7250169185653057,0.3331829460861718,1.0
>CY184055,1.0,0.9843034663178548,0.3769348157837366
>CY183807,0.7262118491921006,0.3323608617594255,1.0
>CY183815,0.726128959784318,0.3304875308919344,1.0
>CY183823,0.7250897666068221,0.3312387791741471,1.0
>CY184063,1.0,0.9747386759581883,0.36019163763066203
>CY060374,0.7350235584473862,0.3466457258245457,1.0
>CY183588,0.718897108271688,0.33938578793992386,1.0
>CY183605,0.734131466004066,0.3329568556584595,1.0
>CY183613,0.734131466004066,0.3329568556584595,1.0
>CY184657,0.7248809253799046,0.3356770242685416,1.0
>CY183710,0.7245685740236147,0.3371934604904631,1.0
>CY183621,0.718897108271688,0.33938578793992386,1.0
>CY183831,0.7296069075210179,0.3337877755055669,1.0
>CY184624,0.7303676804357694,0.3241034952337721,1.0
>CY183629,0.7303676804357694,0.3241034952337721,1.0
>CY133266,0.8802555647155813,0.8678895300906843,1.0
>MK301259,1.0,0.9786013677476286,0.35429075667328486
>KP287806,0.7231981981981982,0.3459459459459459,1.0
>KP287822,0.7279080252479713,0.34558160504959423,1.0
>KP287918,0.721846846846847,0.3504504504504505,1.0
>KP287958,0.72473789872853,0.3232210573276823,1.0
>KP287934,0.7224095302315127,0.34232411777927624,1.0
>KP288014,0.714701927386822,0.34379202151501576,1.0
>KP287814,0.7259042911705235,0.343068973264435,1.0
>CY077040,0.7330053667262972,0.3490608228980322,1.0
>CY146897,0.8814646255688873,0.8688456764584198,1.0
